3.506: [GC 29411K->8493K(4020224K), 0.0004688 secs]
3.506: [Full GC 8493K->8473K(4020224K), 0.0149503 secs]
3.525: [GC 29455K->18841K(4020224K), 0.0018336 secs]
3.527: [Full GC 18841K->8432K(4020224K), 0.0113741 secs]
3.539: [GC 29414K->8560K(4020224K), 0.0005020 secs]
3.539: [Full GC 8560K->8495K(4020224K), 0.0131247 secs]
3.557: [GC 29477K->13743K(4020224K), 0.0013754 secs]
3.558: [Full GC 13743K->8425K(4020224K), 0.0304933 secs]
3.589: [GC 29407K->8489K(4020224K), 0.0101538 secs]
3.599: [Full GC 8489K->3337K(4020224K), 0.0123095 secs]
3.615: [GC 24319K->8553K(4020224K), 0.0014011 secs]
3.617: [Full GC 8553K->8427K(4020224K), 0.0112986 secs]
3.629: [GC 29409K->8491K(4020224K), 0.0095647 secs]
3.638: [Full GC 8491K->3337K(4020224K), 0.0116702 secs]
3.654: [GC 24318K->8585K(4020224K), 0.0017124 secs]
3.656: [Full GC 8585K->8440K(4020224K), 0.0207251 secs]
3.677: [GC 29422K->8568K(4020224K), 0.0006049 secs]
3.678: [Full GC 8568K->3407K(4020224K), 0.0126205 secs]
3.697: [GC 24389K->8772K(4020224K), 0.0036262 secs]
3.701: [Full GC 8772K->8550K(4020224K), 0.0132543 secs]
3.719: [GC 29532K->9350K(4020224K), 0.0009740 secs]
3.720: [Full GC 9350K->4156K(4020224K), 0.0140086 secs]
3.778: [GC 25139K->9649K(4020224K), 0.0013216 secs]
3.779: [Full GC 9649K->8700K(4020224K), 0.0125857 secs]
3.792: [GC 29682K->8796K(4020224K), 0.0004533 secs]
3.793: [Full GC 8796K->3639K(4020224K), 0.0128961 secs]
3.811: [GC 24620K->14039K(4020224K), 0.0016261 secs]
3.813: [Full GC 14039K->8625K(4020224K), 0.0218979 secs]
3.836: [GC 29606K->8817K(4020224K), 0.0005129 secs]
3.837: [Full GC 8817K->8727K(4020224K), 0.0285422 secs]
3.870: [GC 29709K->19125K(4020224K), 0.0016456 secs]
3.872: [Full GC 19125K->8630K(4020224K), 0.0149878 secs]
3.888: [GC 29612K->8694K(4020224K), 0.0103532 secs]
3.898: [Full GC 8694K->8668K(4020224K), 0.0168600 secs]
3.919: [GC 29650K->19066K(4020224K), 0.0017336 secs]
3.921: [Full GC 19066K->8632K(4020224K), 0.0235590 secs]
3.945: [GC 29614K->8760K(4020224K), 0.0099692 secs]
3.955: [Full GC 8760K->8699K(4020224K), 0.0231129 secs]
3.984: [GC 29682K->19067K(4020224K), 0.0018724 secs]
3.986: [Full GC 19067K->8635K(4020224K), 0.0139399 secs]
4.002: [GC 29617K->8699K(4020224K), 0.0008891 secs]
4.003: [Full GC 8699K->8664K(4020224K), 0.0155039 secs]
4.022: [GC 29646K->19032K(4020224K), 0.0017817 secs]
4.024: [Full GC 19032K->8636K(4020224K), 0.0192609 secs]
4.044: [GC 29618K->8732K(4020224K), 0.0004408 secs]
4.045: [Full GC 8732K->8666K(4020224K), 0.0149928 secs]
4.063: [GC 29648K->19066K(4020224K), 0.0058136 secs]
4.069: [Full GC 19066K->8656K(4020224K), 0.0214971 secs]
4.091: [GC 29638K->8720K(4020224K), 0.0004766 secs]
4.092: [Full GC 8720K->8687K(4020224K), 0.0152280 secs]
4.111: [GC 29669K->19119K(4020224K), 0.0015614 secs]
4.112: [Full GC 19119K->8655K(4020224K), 0.0142379 secs]
4.127: [GC 29637K->8815K(4020224K), 0.0004884 secs]
4.128: [Full GC 8815K->8723K(4020224K), 0.0249543 secs]
4.157: [GC 29705K->13971K(4020224K), 0.0013418 secs]
4.158: [Full GC 13971K->8647K(4020224K), 0.0182437 secs]
4.177: [GC 29629K->8711K(4020224K), 0.0005030 secs]
4.178: [Full GC 8711K->3570K(4020224K), 0.0153843 secs]
4.197: [GC 24552K->8818K(4020224K), 0.0014027 secs]
4.198: [Full GC 8818K->8650K(4020224K), 0.0351323 secs]
4.234: [GC 29632K->8746K(4020224K), 0.0005244 secs]
4.235: [Full GC 8746K->3564K(4020224K), 0.0141484 secs]
4.253: [GC 24546K->8812K(4020224K), 0.0018926 secs]
4.255: [Full GC 8812K->8665K(4020224K), 0.0149717 secs]
4.271: [GC 29647K->8761K(4020224K), 0.0104542 secs]
4.281: [Full GC 8761K->3595K(4020224K), 0.0155663 secs]
4.301: [GC 24577K->8811K(4020224K), 0.0090378 secs]
4.310: [Full GC 8811K->8668K(4020224K), 0.0144731 secs]
4.326: [GC 29650K->8764K(4020224K), 0.0005198 secs]
4.326: [Full GC 8764K->3604K(4020224K), 0.0164086 secs]
4.347: [GC 24585K->13972K(4020224K), 0.0016056 secs]
4.348: [Full GC 13972K->8683K(4020224K), 0.0145097 secs]
